Full name,First line of address,Postcode,Phone number,Email address,Date ordered,Date required,Cake type,Cost
Pammy Anderson,11 Penny Drive,KA2 0JA,7764671524,panderson@gmail.com,01/03/2023,07/04/2023,Wedding,£70
David Cameron,27 Albert Rd,SO40 4BX,7734899809,dcameron@ymail.com,02/03/2023,08/04/2023,Boy,35
Kate Phillips,134 Cardigan Rd,EN5 1SU,7864290793,kphillips@google.com,03/03/2023,09/04/2023,Girl,35
Dolly Hall,33 Old Street,DT6 3RA,7049178706,dholly@yahoo.co.uk,04/03/2023,10/04/2023,18,35
Kevin Elliot,64 Berry Rd,HG3 3AG,7900861945,keliot@aol.com,05/03/2023,11/04/2023,Wedding,70
Ben Allen,55 Updown road,BT74 9BF,7050551998,ballen@aol.co.uk,06/03/2023,12/04/2023,Boy,35
Bob Phillips,3 Alfred Close,NE32 4DZ,7016805198,bbphils:google.co.uk,07/03/2023,13/04/2023,Girl,35
Jim Maynes,5 Aspinel Way,CT4 7TS,1227731612,jime@aol.com,03-04-2023,2023-10-10,18,£35
Jimmy Jameson,99 Old St,CT4 7TS,1221321321,jimmyjameson@aol.com,03-04-2023,2023-10-10,Wedding,£70
James Bond,33 Moneypenny St,CT4 7TS,1227007007,bond@bond.com,03-04-2023,2023-10-10,Wedding,£70
James Bond,33 Moneypenny Street,CT4 7TS,01227123123,bond@bond.com,03-04-2023,2023-10-10,18,£35
